,comment_selection,comment_id,text
66,23,67,"There is no restriction for abortions in the case of rape, incest or if the pregnancy risks the life of the mother. I think that's generous enough. Women have and always had full control over their bodies. You can choose who to sleep with, insist someone dons protection. Put yourself on the pill, take a plan B in the morning. Stay celibate.  So many choices. What republicans are against is the premeditated murder of an unborn child. Yes. Premeditated murder. Any woman who's had an abortion not due to one of the three reasons above is a murderer in the first degree. Stop trying to pass of your right to murder a true innocent as a step forward. If anything, it's more reminiscent of genital mutilation. A step several eras backward."
67,23,68,"Ah . . . so that case in Texas WASNT about the ""health of the mother"" at all. It was about the fact that the baby was handicapped. And tiny handicapped babies dont deserve protection from the abortionists curette."
68,23,69,"Good that there are people that make a very sensible nuance: in the Netherlands f.i. (to many Americans such a liberal country) one doesn't speak of birth CONTROL, one speaks of anti-conception, because it there, right before the ""act"" were responsabilities start. (Young) People are very much aware how to prevent pregnancy, anti-conception is accessible to everyone, and we have among the lowest abortion rates in the world! Abortion is always possible within the first 3 months of pregnancy, at a later period of time, there have to be medical, psychological or other severe reasons (as in the case of rape). And we did't have discussions like in the US. So we have the right of abortion, AND the rights of the unborn child well protected.  "
69,24,70, “It’s just tissue dividing or clumps of cells in the first trimester” is a blatant lie that has been sold since the 70s. Women are grieving abortions after learning truth too late. Raising a child that had a sibling they terminated takes a toll on their sole.
70,24,71,"I wouldn't hope or even try to convince you that abortion isn't premeditated murder. You are expressing the religious view that life begins at conception, and that an embryo has a fully formed soul. Most of us don't believe that. If we did, then every 8 cell embryo that miscarried unnoticed would be unbaptized and forever damned. If we believed that, thee could be no abortion exceptions, not for rape or for incest.But we don't believe that. In fact, most of us are horrified at the brutality of forcing an eleven year child raped by her uncle to endure pregnancy and childbirth. Viewing abortion as murder is a religious view which doesn't listen to argument or reason.  You  are certainly entitled to believe that and you may live your life accordingly. What you are not entitled to is impose your religion on the rest of us who do not believe that the thing that makes us different from a tree or a dog or a bean, the thing we call a soul,  comes into existence the moment a sperm cell hits the side of an egg cell.And we all have to live together.  Catholics, Muslims, Protestants, Jews, Atheists and Agnostics, Hindus and the whole rest of the tribes.  The only way we can make this work is to leave government out of religion and religion out of government."
71,24,72,"Most of the US has no idea what actually happens (by calculated design and deception) with an abortion, and if they did, all but the psycho/sociopaths would be totally against it. This is why Planned Parenthood and the progressives (both, on the commie-red left, and the labeled-red right) had to destroy Daleiden and bury all of the videos of the disgusting business and ""business dealings"". Abortion is only legal because of the deception perpetrated against the entire population, and especially directed at women ... at the most vulnerable moment in their life. Once the deception is uncovered, then the emotional and psychological healing of the trauma of abortion (which was intentionally directed at would-be mothers by the progressive left) can begin. Babies are good. Killing babies is bad. All is forgiven and every tear will be wiped away ... *if* we repent ,,, and *if* we turn away from the sin ,,, and go and sin no more."
72,25,73,"Ah . . . so that case in Texas WASNT about the ""health of the mother"" at all. It was about the fact that the baby was handicapped. And tiny handicapped babies dont deserve protection from the abortionists curette."
73,25,74,"The very opposite is true. Abortion is a morally complex issue for a large number of reasons. The nature of personhood; individual moral choice; the influence of duress on pregnancy through rape, incest, sexual violence; the conflict of mother and pre born rights; the incursion of State upon personal choice; the availability of social support services, amongst other things."
74,25,75,"This decision is absolutely staggering in it's INTENDED consequences. This is what happens when ""deeply held religious beliefs"" supersede common sense. You don't need multiple studies to predict the outcome of this deplorable ruling - HUMAN BEINGS will suffer and die in the name of a God who (if he even exists) is weeping at what we are doing to each other.Whatever happened to the FIRST amendment? Do we live in a theocracy, with ""Christian Sharia Law?""Women will NOT be dragged back to the Middle Ages!There is a massive movement to defund Planned Parenthood. On 2/11 there will be demonstrations outside PP clinics. http://protestpp.com/locations/ A friend of mine has pledged to donate $1 to PP for every PRO-ABORTION protester that shows up at our local clinic. I am far from wealthy but I will do the same. How about you? How much will you pledge? "
75,26,76,Adding more CO2 doesnt necessarily mean more or better plant growth.
76,26,77,There fixed the headline for ya.
77,26,78,"Lancet at its best was always a kinda, sorta sciency magazine. Now, it offers nothing."
78,27,79,"AGW believers' suggestion that there's a real danger is based on their false assumption that they know a lot about the situation. And some people blindly trust those scientists because they are successful in their propaganda, not because of the scientific facts. And using their fictional narrative they try to change the lives of the whole earth's population. It's really scary - having no proof, not knowing what's going on, putting as a evidence not even a guess but just a desired explanation for their action - they want to start some imagined fight affecting existence of billions of people. They are not prudent.  Prudent is the real science and not shouting down your opponents. Immeasurably Irresponsible and dangerous - that's what those ""believers"" are.Those scientists cannot predict what will happen in 5-10 years. They don't know the nature's secrets and have no idea how the nature works. But they insist that their incomplete and totally unreliable models can tell what will happen in a hundred years. It's not just an arrogance, it's a fraud.http://www.nytimes.com/2016/03/16/science/global-warming-climate-change-...http://www.bbc.com/earth/story/20140916-the-corals-that-come-back-from-t...http://www.nytimes.com/2016/08/16/science/coral-reef-climate-change.html..."
79,27,80,"@Barry of Nambucca,You still believe in those ""adjusted"" numbers? So ask why those numbers always adjusted and always in order to get higher temperatures?The honesty of all these figures was perfectly presented in the Times' article about record Earth's temperatures for the third year in a row.https://www.nytimes.com/2017/01/18/science/earth-highest-temperature-rec...Do you see the record numbers?A record without a number of the record!And the numbers won't come from graphics either... It's 0.01 degree at 0.1 margin of errorIt's like saying a person leads in a poll by 3 points with the margin of error being 30 points.""Scientists at the Met Office and East Anglia University found 2016 was 1.1 degrees Celsius warmer than the average between 1850 and 1900.This puts 2016 only nominally ahead of 2015 by just 0.01C – within the 0.1C margin of error""http://www.independent.co.uk/environment/dangerous-climate-change-time-r...Yes, continue to believe. As you probably believe that the reason AGW was renamed Climate Change has nothing to do with difficulty to prove this Anthropogenic Global Warming."
80,27,81,"Climate change is a State matter.  With the Sun revolving around an earth that is but 4,372 years old, we know from the written record that climate change is a local matter caused by creator wrath at unremediated-inherited sin. I have never met any scientist who believes in climate change. I was reminded by a science teacher that the last occurrence of verifiable global warming was when the sun stood still for an extra day. Sea levels did not increase then.I will admit there was a time when sea levels rose too  Rain was the reason - the dome that separates the waters from the earth broke open.  There is a simple experiment you can do at home that proves that cracks in the dome that separates the waters from the earth and not global warming are the cause of any increase in water levels. Drop ice cubes into a pitcher of water.  When the ice melts the water level in the pitcher goes down slightly.  Next, Take a plastic storage bag filled to water on top of the same pitcher of water.  Poke a hole in the plastic bag and allow the water to drain into the pitcher.  The water level in the pitcher will rise. "
81,28,82,"@Barry of Nambucca,You still believe in those ""adjusted"" numbers? So ask why those numbers always adjusted and always in order to get higher temperatures?The honesty of all these figures was perfectly presented in the Times' article about record Earth's temperatures for the third year in a row.https://www.nytimes.com/2017/01/18/science/earth-highest-temperature-rec...Do you see the record numbers?A record without a number of the record!And the numbers won't come from graphics either... It's 0.01 degree at 0.1 margin of errorIt's like saying a person leads in a poll by 3 points with the margin of error being 30 points.""Scientists at the Met Office and East Anglia University found 2016 was 1.1 degrees Celsius warmer than the average between 1850 and 1900.This puts 2016 only nominally ahead of 2015 by just 0.01C – within the 0.1C margin of error""http://www.independent.co.uk/environment/dangerous-climate-change-time-r...Yes, continue to believe. As you probably believe that the reason AGW was renamed Climate Change has nothing to do with difficulty to prove this Anthropogenic Global Warming."
82,28,83,"MScott and other deniers:Obviously there are experts who can cast doubt on anything.  The same people worked for big tobacco for many years, denying that nicotine is addictive, questioning what addiction even is, denying that smoking is bad for your health.  Those people are not interested in science.  They are interested in making money (paid by big tobacco) from the people who sell cigarettes.  And for many years, and today, people doubt that smoking is bad for you.  Success!   But disinterested parties from all over the world, whose interest is in science and the its benefits for humanity, who are sounding the alarm that rising CO2 levels will result in catastrophe, and is even now resulting in catastrophe (severe injury, death, property destruction) from violent storms and rising seas.  Even a denier has to admit that perturbing a closed system will affect that system.  Here, the closed system is Earth, and the perturbation is jacking up atmospheric CO2 levels.  We know the properties of CO2 with respect to heat-trapping.  Scientists collect the data and model it.  The world agrees-human activity causes climate change.  Rex Tillerson (but not his secret email alias) might publicly deny it, because they stand to lose money otherwise.  Who are you going to believe?"
83,28,84,"Since carbon dioxide levels have risen in the atmosphere, we have seen greening in previously arid regions like the Sahel and South West India. This is because higher levels of CO2 make plants more drought resistant. So its not just greenhouses; the entire Earth benefits fro higher CO2."
84,29,85,"The earths climate has changed hundreds, if not 1000s of times before without mans assistance. The overwhelmingly most LIKELY cause is the same factors that caused all prior changes, not something new."
85,29,86,"If teachers do not have the mental capacity to understand the truth about climate change, they have no business being teachers.  It is astonishing that in this country 30% of teachers are providing false information to students about climate change.  But this seems like an exclusively American problem.  Teachers and students in the rest of the developed world throughout Europe and Asia just teach and learn the scientific truth about climate change.  The greasy, oily, slimy fossil fuel industry in America continues to be so slippery and dangerous!"
86,29,87,"Climate change is real. Its been happening continuously for the 4.5 billion years the planet earth has existed. Anthropologic Climate change (caused by humans) is not real. Modern humans have only existed for a few tens of thousands of years, and the industrial revolution is only a couple hundred years old."
87,30,88,That is extremely ignorant. Climate change and its cause has already been verified. It happened over 35 years ago.
88,30,89,"Climate change is real. Its been happening continuously for the 4.5 billion years the planet earth has existed. Anthropologic Climate change (caused by humans) is not real. Modern humans have only existed for a few tens of thousands of years, and the industrial revolution is only a couple hundred years old."
89,30,90,"AGW believers' suggestion that there's a real danger is based on their false assumption that they know a lot about the situation. And some people blindly trust those scientists because they are successful in their propaganda, not because of the scientific facts. And using their fictional narrative they try to change the lives of the whole earth's population. It's really scary - having no proof, not knowing what's going on, putting as a evidence not even a guess but just a desired explanation for their action - they want to start some imagined fight affecting existence of billions of people. They are not prudent.  Prudent is the real science and not shouting down your opponents. Immeasurably Irresponsible and dangerous - that's what those ""believers"" are.Those scientists cannot predict what will happen in 5-10 years. They don't know the nature's secrets and have no idea how the nature works. But they insist that their incomplete and totally unreliable models can tell what will happen in a hundred years. It's not just an arrogance, it's a fraud.http://www.nytimes.com/2016/03/16/science/global-warming-climate-change-...http://www.bbc.com/earth/story/20140916-the-corals-that-come-back-from-t...http://www.nytimes.com/2016/08/16/science/coral-reef-climate-change.html..."
